,Name
0,GO
1,Mediterranean Ave
2,COMMUNITY
3,Baltic Ave
4,Income Tax
5,Reading Railroad
6,Oriental Ave
7,CHANCE
8,Vermont Ave
9,Connecticut Ave
10,Just Visiting
11,St. Charles Place
12,Electric Company
13,States Ave
14,Virginia Ave
15,Pennsylvania Railroad
16,St. James Place
17,COMMUNITY
18,Tennessee Ave
19,New York Ave
20,FREE PARKING
21,Kentucky Ave
22,CHANCE
23,Indiana Ave
24,Illinois Ave
25,B. & O. Railroad
26,Atlantic Ave
27,Ventnor Ave
28,Water Works
29,Marvin Gardens
30,GO TO JAIL
31,Pacific Ave
32,North Carolina Ave
33,COMMUNITY
34,Pennsylvania Ave
35,Short Line
36,CHANCE
37,Park Place
38,Luxury Tax
39,Boardwalk
46,test
