,Description,SetPosition,MoneyEarned,Note
0,GET OUT OF JAIL FREE!,,0,KEEP
1,"Advance to ""GO"" and collect $200!",0.0,200,
2,Bank error in your favor. Collect $200!,,200,
3,Doctor's fees. Pay $50.,,-50,
4,"From sale of stock, you get $50.",,50,
5,GO TO JAIL!,-1.0,0,
6,Grand Opera Night. Collect $50 from every player!,,50,PLAYER
7,Holiday fund matures. Receive $100!,,100,
8,Income tax refund. Collect $20.,,20,
9,It's your birthday. Collect $10 from every player.,,10,PLAYER
10,Life insurance matures. Collect $100!,,100,
11,Hospital fees. Pay $50.,,-50,
12,School fees. Pay $50.,,-50,
13,Receive $25 consultancy fee.,,25,
14,You are assessed for street repairs: Pay $40 per house and $115 per hotel you own.,,0,REPAIR
15,You have won second prize in a beauty contest. Collect $10.,,10,
16,You inherit $100!,,100,
